,BounceRates,ExitRates,PageValues,SpecialDay,Weekend,Administrative_per_duration,Informational_per_duration,ProductRel_per_dur,Month,Region,TrafficType,VisitorType,Revenue
0,0.031578947,0.068253968,0.0,0.0,0,0.0,0.0,0.0760879802614755,Feb,1,0,Returning_Visitor,0
1,0.0,0.068253968,0.0,0.0,0,0.0,0.0,0.03124999511718826,Feb,1,0,Returning_Visitor,0
2,0.031578947,0.068253968,0.0,0.0,0,0.0,0.0,0.0760879802614755,Feb,9,0,Returning_Visitor,0
3,0.031578947,0.068253968,0.0,0.0,0,0.0,0.0,0.0760879802614755,Feb,2,0,Returning_Visitor,0
4,0.02,0.05,0.0,0.0,1,0.0,0.0,0.015936254726115463,Feb,1,0,Returning_Visitor,0
5,0.015789474,0.024561404,0.0,0.0,0,0.0,0.0,0.0760879802614755,Feb,1,0,Returning_Visitor,0
6,0.031578947,0.068253968,0.0,0.4,0,0.0,0.0,0.0760879802614755,Feb,3,0,Returning_Visitor,0
7,0.031578947,0.068253968,0.0,0.0,1,0.06896549346017466,0.0,0.006777059716897798,Feb,1,0,Returning_Visitor,0
8,0.0,0.068253968,0.0,0.8,0,0.0,0.0,0.0540540394448542,Feb,2,0,Returning_Visitor,0
9,0.0,0.022222222,0.0,0.4,0,0.0,0.0,0.006777059716897798,Feb,1,0,Returning_Visitor,0
10,0.0,0.066666667,0.0,0.0,0,0.0,0.0,0.007594936516583886,Feb,3,0,Returning_Visitor,0
11,0.01875,0.025833333,0.0,0.4,0,0.0,0.0,0.03923972926450695,Feb,4,0,Returning_Visitor,0
12,0.0,0.028571429,0.0,0.0,0,0.0,0.0,0.02495543583046575,Feb,1,0,Returning_Visitor,0
13,0.0,0.066666667,0.0,0.0,0,0.0,0.0,0.061224483548522085,Feb,1,0,Returning_Visitor,0
14,0.0,0.068253968,0.0,0.0,0,0.0,0.0,0.029411760380623472,Feb,3,0,Returning_Visitor,0
15,0.008333333,0.016312636,0.0,0.0,0,0.037735841936633596,0.0,0.01378661213253553,Feb,9,0,Returning_Visitor,0
16,0.031578947,0.068253968,0.0,0.0,0,0.0,0.0,0.0760879802614755,Feb,4,0,Returning_Visitor,0
17,0.0,0.007692308,0.0,0.0,1,0.0,0.0,0.03880983066158234,Feb,1,0,Returning_Visitor,0
18,0.0,0.068253968,0.0,0.0,0,0.0,0.0,0.0624999804687561,Feb,1,0,Returning_Visitor,0
19,0.0,0.01,0.0,0.0,0,0.0,0.0,0.006777059716897798,Feb,4,0,Returning_Visitor,0
20,0.0,0.008333333,0.0,1.0,1,0.0,0.0,0.05875152565870031,Feb,5,0,Returning_Visitor,0
21,0.031578947,0.068253968,0.0,0.0,0,0.0,0.0,0.0760879802614755,Feb,1,0,Returning_Visitor,0
22,0.0,0.033333333,0.0,0.0,0,0.0,0.0,0.028571425850340393,Feb,1,0,Returning_Visitor,0
23,0.0,0.068253968,0.0,0.8,0,0.0,0.0,0.0760879802614755,Feb,1,0,Returning_Visitor,0
24,0.031578947,0.068253968,0.0,0.0,1,0.0,0.0,0.0760879802614755,Feb,4,0,Returning_Visitor,0
